ID_врача,Обобщенный_отзыв
158015,"Замечательный, внимательный и деликатный доктор. Также отмечен как хороший и грамотный специалист по УЗИ."
8400,Отзывы содержат только оценку без текстового комментария.
167635,Врач отличный: знающий и внимательный.
216095,"Врач спокойная, внимательная, выслушивает, подсказывает. Пациентам нравится комплексный подход клиники (анализы, УЗИ в одном месте). Также отмечено, что ребенку было комфортно, все грамотно и спокойно."
234091,"Врач, который говорит ясно и по существу, без лишних рассуждений."
50109,"Противоречивые отзывы. С одной стороны, врач, который легко и быстро проводит удаление (ноготь, зуб), с хорошим заживлением. С другой - нарекания на невнимательность, назначение лечения без необходимой диагностики (рентгена). Также есть жалобы на назначение ненужных, дорогостоящих процедур."
215774,Хороший специалист.
233133,"Нейтральный отзыв: ""Хорошо""."
59705,"Врач, обнаруживший рак на ранней стадии благодаря тщательному обследованию, что спасло жизнь пациенту благодаря ранней диагностике и безоперабельному лечению. Выражается огромная благодарность."
232572,"Врач от Бога, неравнодушный и внимательный. Наблюдает пациентов долгие годы, оказывает квалифицированную помощь и поддержку в сложных ситуациях (прерывание беременности по мед. показаниям). Выявляет и корректирует проблемы, не замеченные в ЖК (наследственная тромбофилия), что позволяет выносить здоровых детей."
50212,"Очень внимательный доктор. Также отмечен как отличный пульмонолог, который внимательно относится и исключает проблемы у пациента."
224793,"Хороший внимательный врач, знающий свою работу. Не назначает лишних препаратов."
162808,Отзыв содержит только оценку без текстового комментария.
38684,"Очень вежливый и компетентный врач, отвечает на все вопросы."
37871,"Врач, проводящий успешные операции (удаление желчного пузыря, герниопластику). Выражают огромную благодарность за профессионализм, компетентность, чуткость и бережное отношение."
37535,Отзывы содержат только оценку без текстового комментария.
56141,"Очень опытный и внимательный врач. Моментально определяет направление для диагностики и выхода из сложных диагнозов. Помогает в реабилитации после инсульта, снятии спастики. Есть отзыв о спасении жизни пациента благодаря точной диагностике редкого синдрома. Выражается бесконечная благодарность."
38467,"Врач, которому понравился прием: все необходимые рекомендации даны, все разъяснено. Также есть нейтральная оценка без текста."
7225,"Резко негативные отзывы. Врач обвиняется в навязывании БАДов, некомпетентности в решении серьезных проблем, разводе на деньги через ненужные анализы и процедуры (лазерная вапоризация эрозии без показаний), непрофессиональных назначениях. Создается впечатление, что главный интерес - финансовая выгода, а не здоровье пациентов."
44717,"Противоречивые отзывы. С одной стороны, врач-профессионал, к которому планируют записаться. С другой - серьезные нарекания: неприятная манера общения (как с провинившейся школьницей), назначение ненужных анализов и лекарств без показаний, неинформирование о рисках. Также есть нейтральный отзыв о наблюдении без результата в планировании беременности."
156958,"Противоречивые отзывы. Один пациент отмечает некоторый положительный эффект от процедуры у пожилого человека. Другой - крайне негативный опыт: врач не сделала ничего для снятия острой боли, не дала рекомендаций, после ее процедуры боль усилилась. Руководство клиники отказалось решать конфликт и возвращать деньги."
219848,"Один из лучших врачей, в профессионализме которого уверены. Выражают благодарность за помощь."
38310,"Профессионал своего дела. Также отмечен как прекрасный врач, отлично знающий свою работу, внимательный, с четкими объяснениями назначений (""старая школа"")."
33920,"Врач, которому советуют обращаться для удаления зубов мудрости. Процедура проходит очень быстро, абсолютно не больно, что вызывает приятное удивление. Также назван ""хирургом-стоматологом от Бога""."
216409,"Врач, помогающий в решении проблем с мужским здоровьем (подвижность сперматозоидов). Лечение эффективное, позволяет планировать беременность."
38530,Замечательный доктор.
337789,"Отличный врач, очень хорошо понимает в своем профиле. Также выбран по отзывам для пожилого человека, который остался доволен приемом."
34782,"Врач от Бога, которого очень советуют. Также отмечен как очень хороший врач и человек, грамотный ревматолог. Единственный, кто предлагает альтернативы, когда стандартное лечение не помогает."
216161,"Врач, наблюдающий после операции. Все по делу, внимательный, объясняет доходчиво. Лечение подтверждается другими клиниками."
158032,Очень приятный специалист.
133403,"Противоречивые отзывы. Один пациент доволен: врач все тщательно рассмотрел и разъяснил. Другой - резко негативный: характеризует врача как хама и грубияна, который повышает голос на пациентов."
133427,"Противоречивые отзывы. С одной стороны, врач внимательная, осмотр быстрый, приятная, с ней можно прийти к общему знаменателю в обсуждении лечения. С другой - серьезные нарекания: болезненный осмотр, неделание УЗИ, ошибка в назначении гистероскопии, приведшая к двум лишним наркозам, постоянное назначение таблеток без результата."
60225,"Доктор с отзывчивым неравнодушным отношением. Также хороший врач, ведущий ребенка с хроническим диагнозом (ЮХА)."
135282,"Противоречивые отзывы. Одни пациенты рекомендуют врача как очень грамотного, обстоятельного, хорошего ортопеда, ""любимого доктора"". Другой отзыв советует невролога, но выражает сомнения в ее компетенции при задержке двигательного развития у ребенка."
142632,"Противоречивые отзывы. Одни пациенты хвалят невролога как очень хорошего врача, подробно все смотрящего и отвечающего на вопросы. Другие - резко негативные: врач обнаружила много несуществующих отклонений у ребенка, напугала родителей, прогнозировала задержки, которые не подтвердились, назначила ненужное лечение."
186271,"Нормальный толковый стоматолог. Работает четко, быстро, качественно, разговоры только по теме. Также рекомендован как внимательный и знающий доктор."
225394,"Резко негативный отзыв. Врач обвиняется в том, что интересуется только получением больших денег, назван ""ремесленником""."
303010,"Очень хороший психолог, оказавший экспертную помощь. Чувствуется положительная динамика. Пациент рад, что попал к этому специалисту."
233747,"Врачи в отделении кардиоонкологии преданные своему делу. Главный онко-кардиолог страны характеризуется как выдающийся специалист, которого очень хвалят."
196631,"Внимательный, профессионал. Очень рады, что попали к нему. Помог ребенку с тиками - после рекомендаций ситуация заметно улучшилась."
189588,"Отличный врач. Также охарактеризован как ""настоящий доктор, который несет в мир добро""."
32801,Замечательный и грамотный пульмонолог.
345946,"Все прошло хорошо. Приняли сразу, в заключении подробно все расписано."
38500,"Врач понравился, внимательный, толковый. Также есть отзыв о высококлассном специалисте-гастроэнтерологе, который поставил на ноги пожилого пациента, когда другие врачи не могли помочь."
199644,Отзыв содержит только оценку без текстового комментария.
228002,"Молодой, продвинутый, грамотный доктор."
215888,"Хороший уролог. Врач замечательный, супервнимательный, без развода на деньги, по-человечески. Результат лечения отличный."
31391,"Очень хороший специалист. Внимательно осмотрела ребенка, собрала анамнез, назначила дообследования."
343865,Отличный врач! Всем советуют!
167376,Внимательный и понимающий врач. Провел аккуратное и нетравматичное удаление сложных зубов мудрости. Восстановление прошло быстро.
50212,"Отличный доктор. Пульмонолог, который внимательно относится и исключает проблемы у пациента."
61282,"Отличный хирург, внимательный, профессиональный и очень добрый. Удаление всех четырех зубов мудрости под наркозом прошло хорошо, без боли после операции."
160961,"Отличный врач, позитивный. Помог в долгожданной беременности с первой попытки. Также охарактеризован как очень внимательный, грамотный специалист, на котором держится медицина."
8276,"Врач, которой доверяют и наблюдаются у нее много лет. Делает УЗИ хорошо и аккуратно. Оказывает поддержку, качественное обслуживание. Также отмечена как грамотный специалист, не назначающий лишнего, ведущий беременность с хорошим результатом. Есть и нейтральный отзыв о сомнениях в компетенции для планирования беременности."
214976,Отличный врач.
302122,Отзыв содержит только оценку без текстового комментария.
43230,"Отличный врач. Внимательная, нет спешки, отвечает на все вопросы, дает советы, комментирует манипуляции. С ней не страшно преодолевать сложности во время беременности."
357702,"Хорошие специалисты. Один врач поражает спокойствием и вниманием к каждому пациенту, толковый специалист. Другой - очень приятный, вежливый, грамотный, к нему приезжают пациенты из других городов."
23290,Врачи от Бога (невролог и иглорефлексотерапевт).
313206,Отзыв содержит только оценку без текстового комментария.
25246,Замечательный врач! Быстро и точно поставлен диагноз и оказана своевременная помощь.
7277,"Противоречивые отзывы. Один пациент считает врача хорошим. Другой дает резко негативную оценку клиники в целом, но отмечает терапевта как единственного грамотного и приятного доктора, качественно проведшего опрос, осмотр и назначившего адекватное лечение."
15840,"Резко негативный отзыв. Врач выписала на работу с пневмонией на 10-й день, игнорируя жалобы на сильную слабость, потливость и кашель. Охарактеризована как ""коммерсант в халате""."
197688,"Врач-остеопат, которая помогла решить проблему энуреза и ""лягушачьего"" живота у ребенка, с которой не справлялись другие врачи. Предупреждает о наличии шарлатанов в этой сфере."
16108,"Врач, который не умеет слушать пациента, перебивает, неэтична. Не смогла поставить диагноз, не дала советов и рекомендаций."
38577,"Резко негативный отзыв. Врач нанесла травму ребенку при осмотре (треснула губа, пошла кровь), вызвав испуг и боль."
23502,"Очень знающий, опытный, высококвалифицированный специалист и отзывчивый человек. Дает исчерпывающую консультацию."
33267,"Врач, делающий операции (минифлебэктомию) ""без сучка без задоринки""."
229734,"Отлично проведенная операция (Ласик), идеальный результат."
231050,"Отличный гинеколог. Очень понравилась конкретная информация по лечению. Решила проблему, помогла забеременеть. Добросовестный специалист."
215812,Хороший специалист-гастроэнтеролог.
159457,Отличный специалист в своей области. Все грамотно и понятно рассказала. Если бы обратились раньше - проблем бы не было.
38544,"Потрясающий доктор. Грамотная, отзывчивая, мастер своего дела. Один из лучших неврологов в городе."
228432,"Прекрасный, доказательный врач, в курсе всех современных исследований. Говорит четко, по существу, не разводит. Корректна и доброжелательна."
119019,"Очень спокойный и сдержанный врач. Задает мало вопросов. Назначил действенное, хотя и дорогое, лекарство, которое подошло пациенту."
63613,"Врач, помогающий в решении проблем с простатитом. Осмотр тщательный, все объяснил. Лечение помогло быстро. Внимателен к возрастным пациентам. Есть и негативный отзыв о другом враче с этим ID, который несерьезно отнесся к варикоцеле."
229689,"Отличный доктор. Внимательно осмотрел, назначил лечение, которое помогло к вечеру."
195786,"Врач, внушающий доверие. Ответил на вопросы, операция прошла хорошо, ранка заживает нормально."
26215,"Прием прошел очень быстро (8 минут). Диагноз поставлен поверхностно (""аллергия"" без уточнения на что), назначено длительное лечение каплями с противопоказаниями без выяснения анамнеза. Нецелесообразное назначение."
48070,"Очень хороший, добрый, внимательный мануальный терапевт. Неравнодушный к результату лечения, отзывчивый специалист. Помог справиться с обострением остеохондроза."
223076,Чудесный доктор с добрым человеческим отношением!
215197,"Врач от Бога, волшебные руки, внимательность, забота и громадный профессионализм. Провел сложнейшую операцию, спас ногу. Выражают огромную благодарность."
230513,"Лечение не помогло, потрачено много денег. Врач опоздал на час на прием к пациенту с сильными болями и не извинился."
167406,"Отзывчивый доктор. Лечение у него в течение трех лет дает результат, которым пациент доволен."
234244,"Врач, с которым чувствуешь себя надежно во время беременности с осложнениями. Грамотный, хороший специалист."
57395,Впечатления хорошие.
23647,"Супер, спасибо."
135030,Отзыв содержит только оценку без текстового комментария.
343884,"Нормальный доктор! Внимательная и говорит по делу. Чувствуется, что грамотный специалист."
346941,"Хороший специалист, сохранил родной клапан."
162542,"Резко негативный отзыв. Оплачен часовой сеанс, а по факту получена 20-минутная консультация. Расценено как странное и недобросовестное оказание услуги."
37052,Врач хороший! Реально помог при многолетней мочекаменной болезни.
215838,"Врач, который показал свои работы, сделал моделирование и провел операцию (ринопластику). Результатом пациентка довольна, восстановление прошло быстро."
25242,"Компетентный, профессиональный, спокойный доктор. Все подробно объясняет, отвечает на вопросы. Добросовестно выполняет УЗИ."
345963,"Врач, к которому ходили платно. Негатива нет, посмотрел, рассказал, взял пункцию, успокоил."
142142,"Очень компетентный врач. Все рассказал, осмотрел, дал нужные рекомендации и наставления."
23601,"Врач произвел положительное впечатление, но прием был очень быстрый, создалось ощущение спешки. На вопросы отвечала коротко, не охотно."
277890,"Грамотный специалист-терапевт-эндокринолог. Благодаря ее правильным назначениям во время беременности (проблемы с гемоглобином, ГСД) родился здоровый ребенок."
38598,"Прекрасный и внимательный врач. Смогла определить проблему, с которой много лет не могли справиться другие окулисты."
234217,"Врачи-волшебники, обладающие высоким профессионализмом, слаженностью в работе и человечностью. Провели ЭМА (эмболизацию маточных артерий) быстро, безболезненно, с понятными объяснениями. Пациенты выражают огромную признательность."
238810,"Врач, которому доверяют на протяжении 3 лет. Доверие вызывает как специалисту, так и человеку."
7408,"Замечательный доктор. Очень внимательная и любезная. Принимала роды, действовала быстро и грамотно по ситуации."
235390,"Врач, которая ""супер"" в отделении невынашивания."
38641,"Профессионально, обращение с ребенком великолепное. Очень благодарны."
16276,Отзыв содержит только оценку без текстового комментария.
7201,"Внимательный врач, реагирует на каждое движение мимики. Лечение зубов проходит не больно и даже приятно."
7716,"Внимательная, но чувствуется большая нагрузка и усталость."
59919,Профессионал и замечательный человек!!!
230869,"Просто лучшая. Лечение было взвешенным и по делу, все объяснила, успешно провела операцию. Однозначно советуют."
138096,"Всегда внимательна, ответственна, доброжелательна. Старается сделать всё возможное, чтобы помочь пациенту. Профессиональные качества вызывают уважение."
239877,Хорошая врач.
