,id,doctor_category,spec,specialities,doctor_specialization,degree,gender,education,education_add,detail_text,Обобщенный_отзыв
93,333329,none,дерматолог,"дерматолог, врач-косметолог, косметолог",дерматовенерология,none,female,Северо-Западный государственный медицинский университет им. И.И. Мечникова (2006),"<ul><li><p>2008 г. — ординатура на базе СЗГМУ им.И.И.Мечникова.</p></li></ul><ul><li><p>2009 г. — программа цикла тематического усовершенствования «Дерматовенерология (медицинская косметология, лазеротерапия)».</p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>«Методика биостимулирования тканей с помощью внутридермальных мультиинъекций (мезотерапия)».</p></li></ul><ul><li><p>«Физиотерапия в косметологии».</p></li><li><p>«Теория и практика применения ботулотоксина в эстетической медицине».</p></li><li><p>«Основы дерматоскопии».</p></li><li><p>«Работа на оборудовании SmartXide».</p></li><li><p>«Лифтинг мезонитями».</p></li><li><p>«INFINI косметологический аппарат».</p></li><li><p>«Интралипотерапия Aqualyx».</p></li></ul>","<p>Доктор является экспертом по новообразованиям кожии, выполняет процедуры такие процедуры, как:</p><p>Аппаратные процедуры, которые проводит доктор: лазерная эпиляция трипл, мовео, &nbsp;УЗ-чистка, ДОТ/ДОТ Пунто-омоложение, лазерный пилинг, удаление шрамов/рубцов/стрий (ДОТ/ДОТ Пунто), IPL Quantum( Квантум) фотоомоложение лица-удаление пигментных пятен, лечение розацея. так же в интимной области, &nbsp;КТР (удаление сосудов, /ФТО), Smas- лифтинг-безоперационная подтяжка лица на аппарате Ultraformer III ( Ультраформер) / UltraSkin II (Ультраскин), &nbsp;3D-волюмизация (на аппарате Infini) , лазерное омоложение на аппарате Фраксель, восстановление интимного здоровья на аппарате Emsella, вакуумный гидропилинг HydraFacial, RF-лифтинг, микроигольчатый RF-лифтинг на аппарате Scarlet), ДОТ+RF лифтинг, &nbsp;процедура коррекции фигуры и лица Криолиполиз (на аппарате Coccon), BBL-терапия (так же в интимной области), удаление новообразований (Ланцет/ Л-мед), удаление татуировок/татуажа.</p><p>Инъекционные процедуры : плазмотерапия, биоревитализация (+интимная), биорепарация, редермализация, контурная и объёмная пластика, удаление мимических морщин-инъекции ботулотоксинов (ботокс/диспорт/релатокс/миотокс/ксеомин), лечение гипергидроза, мезотерапия лица и волосистой части головы, плацентарная терапия ""Лаеннек"", интралипотерапия ""Акваликс"", липолитики , альгинатные маски, химический пилинг, интимная коррекция, инъекционное удаление рубцов / шрамов (дипроспан/кеналог).</p>","Врач от Бога с ""легкой рукой"". Процедуры проходят быстро, с превосходным результатом и хорошим заживлением. Пациенты возвращаются неоднократно, так как результат проверен на практике."
94,162808,none,дерматолог,"дерматолог, дерматовенеролог",трихология,none,female,Первый Санкт-Петербургский государственный медицинский университет им.акад.И.П.Павлова (2010),"<ul><li><p>Клиническая интернатура по специальности ""Дерматовенерология"", ПСПбГМУ им. акад. И. П. Павлова</p></li><li><p>Клиническая ординатура по специальности ""Дерматовенерология"", ПСПбГМУ им. акад. И. П. Павлова</p></li></ul><p><strong><em>Дополнительное обучение:</em></strong></p><ul><li><p>2012 г. – обучение на курсах по терапевтической косметологии, ПСПбГМУ им. И. П. Павлова и СПИК.</p></li><li><p>2012 г. – «Применение интрадермальных имплантов на основе гиалуроновой кислоты коллекции Juvederm ULTRA и Surgiderm при коррекции инволюционных изменений кожи»,</p></li><li><p>2012 г. – «Эстетическая коррекция инволюционных изменений кожи с использованием препарата Ботокс»,</p></li><li><p>2012 г. – «Теория и практика применения препарата Диспорт (Ботулинический токсин типа А) в эстетической медицине»,</p></li><li><p>2012 г. – теоретический и практический курс работы с препаратом «Ксеомин»,</p></li><li><p>2012 г. – теоретический и практический курс работы с препаратами линейки «Белотеро»,</p></li><li><p>2012 г. – «Волюметрическая коррекция лица монофазными филлерами: X-HA 3, X-HA VOLUME, M-HA 18 от лаборатории Filorga»,</p></li><li><p>2012 г. – «Мезотерапия с использованием препаратов лаборатории Filorga»,</p></li><li><p>2012 г. – участие в мастер-классе по применению препарата «Коллост» в дерматокосметологии,</p></li><li><p>2012 г. – теоретический и практический курс работы с препаратами линии «Restylane»,</p></li><li><p>2012 г. – теоретический и практический курс работы с препаратами «Yal-system», «Yal-system ACP» ,</p></li><li><p>2012 г. – курс теоретического и практического обучения по применению химических пилингов «Easy Phytic Peel, Easy Peel, Only touch peel»,</p></li><li><p>2012 г. – курс теоретического и практического обучения по мезотерапии (применение препаратов Aesthetic Dermal),</p></li><li><p>2013 г. – сертификат специалиста «Plasmolifting в косметологии и трихологии»,</p></li><li><p>2013 г. – «Лечение косметических дефектов кожи методом фракционного фототермолиза» с применением аппарата лазерного терапевтического Fraxel re: store dual»</p></li><li><p>2014 г. – образовательная программа по дерматоскопии, тематический цикл: “Двухшаговый алгоритм в дерматоскопии”,</p></li><li><p>2015 г. – стажировка в Германии “Laser Seminar including laser theory, biological effects and laser safety for the following laser device: MeDioStar NeXT, TattooStar, QuadroStarPRO and MCL 31 Dermablate”.</p></li></ul>","<p>Специализируется на лечении:</p><ul><li><p>акне;</p></li><li><p>атопического дерматита;</p></li><li><p>псориаза;</p></li><li><p>алопеции;</p></li><li><p>микозов кожи и ногтей.</p></li></ul><p>Проводит удаление доброкачественных новообразований кожи: папилломы, себорейные кератомы.</p>",Отзыв содержит только оценку без текстового комментария.
95,230127,none,дерматолог,"дерматолог, косметолог, венеролог, дерматовенеролог, врач-косметолог",трихология,Ph.D.Medicine,female,Московский государственный медико-стоматологический университет им. А.И.Евдокимова (1995),"<ul><li><p>1997 г. – ординатура по специальности «Дерматовенерология» на базе ЦНИКВИ;</p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>2001 г. – «Дерматовенерология детского возраста», ГНЦ дерматовенерологии и косметологии;</p></li><li><p>2002 г. – «Трихология», РУДН;</p></li><li><p>2004 г. – «Рефлексотерапия», Государственный институт усовершенствования врачей МО РФ;</p></li><li><p>2018 г. – «Дерматовенерология», МГМСУ им. А.И.Евдокимова;</p></li><li><p>2020 г. – «Косметология», МГМСУ им. А.И.Евдокимова.</p></li></ul>","<p>Ведущий врач-дерматолог-косметолог. ведёт приём пациентов по всем направлениям дерматологии (микология, трихология, удаление папиллом, контагиозных моллюсков, бородавок методом электрокоагуляции). Занимается диагностикой и лечением заболеваний кожи, волос, ногтей, удалением доброкачественных образований кожи (папиллом, бородавок, невусов) методом электрокоагуляции, радиоволновым методом (Сургитрон), криодеструкции, при помощи лазера. Богатырева Лариса Алексеевна проводит ботулинотерапию, контурную пластику, биоревитализацию, мезотерапию, плазмотерапию, коллостотерапию, лазерную и фотоэпиляцию, удаление сосудистых образований, ультразвуковую и механическую чистку лица, криотерапию, криомассаж, криодеструкцию.</p>",нет отзыва
96,333405,none,дерматолог,"дерматолог, косметолог, врач-косметолог",дерматовенерология,none,female,Российский национальный исследовательский медицинский университет им. Н.И. Пирогова (2006),"<ul><li><p>2008 г. — ординатура по специальности «Дерматовенерология» на базе СЗГМУ им. И. И. Мечникова.</p></li><li><p>2009 г.  — интернатура при Дагестанской государственной медецинской академии г. Махачкала по специальности «Дерматовенерология». </p></li></ul><ul><li><p>2013 г. — профессиональная переподготовка по специальности «Косметологии»,&nbsp;СПбГПМУ. </p><p>2017 г. — профессиональная переподготовка по специальности по ""Косметологии"" в Северо-Западном государственном медицинском университете имени академика И. И. Мечникова </p></li><li><p>2020 г. — профессиональная переподготовка в Северо-Западном государственном медицинском университете имени академика И. И. Мечникова «Дерматовенерология». </p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>Обучение и стажировка по курсу «Лазерные, RF и IPL-технологии в медицине», г. Сеул, Южная Корея</p></li></ul><ul><li><p>Сертифицированный тренинг на оборудовании компании «Дека» SMARTXIDE.</p></li><li><p>Курс по применению «3Д-мезонитей в коррекции возрастных изменений лица и тела».</p></li><li><p>Курс «Лифтинговые нити», ЭстетикМед</p></li><li><p>Курс по 3Д-волюмизации (микроигольчатый RF-лифтинг INFINI. Lutronic).</p></li><li><p>Обучение по курсу авторского мастер-класса «Сочетанное применение филеров на основе гиалуроновой кислоты и мезонитей», Oh Kims dermatology and hair transplantation center, г. Сеул, Южная Корея</p></li></ul>","<p>Доктор выполняет все основные косметологические процедуры, в&nbsp;том числе: ДОТ-омоложение, ультразвуковая чистка, биоревитализация, интралипотерапия Aqualyx, 3D-волюмизация Infini, IPL-фотолечение Quantum, фотоомоложение, мезотерапия, биорепарация, RF-лифтинг, контурная и&nbsp;объемная пластика, лазерный пилинг, фраксель, 3D-мезонити, плацентарная терапия «Лаеннек», SMAS-лифтинг, Venus Viva.</p><p>Куланова Александра Петровна занимается интимной косметологией: интимная биоревитализация, интимная пластика половых губ.</p>",нет отзыва
97,167538,none,стоматолог,"детский стоматолог, стоматолог-терапевт","врач стоматолог-терапевт, детский терапевт",none,female,Первый Санкт-Петербургский государственный медицинский университет им.академика И. П. Павлова (2004),"<ul><li><p>2006 г. — профессиональная переподготовка в Санкт-Петербургской медицинской академии последипломного образования по терапевтической стоматологии</p></li><li><p>2006 г. — профессиональная переподготовка в СПб МАПО по детской стоматологии</p></li><li><p>2006 г. — обучение по программе «Эффективные ручные и машинные технологии в эндодонтии, гарантирующие успех. Как быстро овладеть и избежать ошибок» в Санкт-Петербургском институте стоматологии</p></li><li><p>2008 г. — обучение по программе «Эстетическая стоматология. Как добиться успеха в реставрации зубов» в Санкт-Петербургском институте стоматологии</p></li><li><p>2009 г. — обучение по программе «Новые технологии и материалы в стоматологии детского возраста»</p></li><li><p>2011 г. — профессиональное повышение квалификации по терапевтической стоматологии на базе МАПО</p></li></ul>","<p>Опытный стоматолог-терапевт, ведёт приём взрослых и детей.</p><p>Дементьева Екатерина Николаевна диагностирует и лечит кариес, пульпит, периодонтит. Проводит профессиональную гигиену полости рта, обучает правильной гигиене.</p>","Резко негативный отзыв. Врач обвиняется в отсутствии контакта с ребенком, формальном осмотре, недовольстве и раздражении в ответ на вопросы родителей, нежелании проводить запланированное лечение и грубости. Создается впечатление работы на конвейере без уважения к клиенту."
98,37535,high,терапевт,"диетолог, нутрициолог",Терапия,none,female,Северо-Западный государственный медицинский университет им.И.И.Мечникова (1998),"<p>2020 г. -&nbsp;Профессиональная переподготовка по программе «Антивозрастная профилактика», университета Парижа XII округа Валь-де-Марн (Франция)</p><p>2010&nbsp;г. - Профессиональная переподготовка по специальности «Диетология», СПбМАПО</p><p>2007&nbsp;г. - Профессиональная переподготовка по специальности «Терапия», Военно-медицинская академия им. С.М. Кирова</p><p>1999 г. - СПбГМА им. И. И. Мечникова, интернатура, кафедра профилактической медицины ""Питание человека"", сертификат специалиста по ""Гигиене питания"". &nbsp;</p><p><strong>Повышение квалификации</strong></p><p>2021&nbsp;г. - Повышение квалификации по программе «Продвинутый уровень Экспертной школы «Anti-Age EXPERT», Dr. Dorina Donici, Dr. Claud Dalle, г. Москва</p><p>2021&nbsp;г. - Повышение квалификации по программе «Современные аспекты организации работы по антивозрастной медицине», АНОДПО «Академии развития инновационных технологий»</p><p>2021&nbsp;г. - Повышение квалификации по программе «Актуальные вопросы современной диетологии», Учебный центр «Академии профессионального развития»</p><p>2020&nbsp;г. - Повышение квалификации по программе «Фундаментальный&nbsp;уровень Экспертной школы «Anti-Age EXPERT», Dr. Dorina Donici, Dr. Claud Dalle, г. Москва</p><p>2020 г. -&nbsp;Повышение квалификации по программе «Современные аспекты организации работы по антивозрастной медицине», АНОДПО&nbsp;«Медицинский университет инноваций и&nbsp;развития»</p><p>2020 г. -&nbsp;Повышение квалификации по программе «Критерии оценки качества организации и проведения лечебного питания», Учебный центр «Академия профессионального развития»</p><p>2019 г. -&nbsp;Повышение квалификации по циклу «Диетология», ФГБОУВО «Санкт-Петербургский государственный университет»</p><p>2019&nbsp;г. - Повышение квалификации по программе «Фундаментальный уровень Экспертной школы «Anti-Age EXPERT», Dr. Dorina Donici, Dr. Claud Dalle, г. Москва</p><p>2019 г. -&nbsp;Повышение квалификации по программе «Современные аспекты организации работы по антивозрастной медицине», «Медицинский университет инноваций и&nbsp;развития»</p><p>2018 г. - Сертификационный курс ""Терапия"", ЕЦПК</p><p>2015 г. -&nbsp;Повышение квалификации по программе&nbsp;«Современные методы диагностики и лечения ожирения», ГБОУ &nbsp;«Северо-Западный государственный медицинский университет имени И.И. Мечникова»</p><p>2015 г. -&nbsp;Повышение квалификации по циклу «Современные методики контроля знаний и активации учебного процесса», ГБОУ ВПО СЗГМУ&nbsp;И.И. Мечникова</p><p>2015&nbsp;г. - Повышение квалификации по сертификационному циклу&nbsp;«Диетология», ГБОУ «Северо-Западный государственный медицинский университет имени И.И. Мечникова»</p><p>2009 г. -&nbsp;Повышение квалификации по сертификационному циклу «Энтеральное и парентеральное питание», Военно-медицинская академия им. С.М. Кирова</p><p>2007&nbsp;г. - Повышение квалификации по программе&nbsp;«Современные рекомендации по ведению больных сердечно-сосудистыми заболеваниями», ГБОУ ВПО СПБГМА&nbsp;И.И. Мечникова</p><p>2004&nbsp;г. - Повышение квалификации по сертификационному циклу «Клиническая диетология», Военно-медицинская академия им. С.М. Кирова</p><p>2000&nbsp;г. - Повышение квалификации по сертификационному циклу&nbsp;«Диетология», ГБОУ&nbsp;«Северо-Западный государственный медицинский университет имени И.И. Мечникова»</p>","<p>Елена Юрьевна занимается функциональной диагностикой, оценкой трофологического статуса, расчётом энергопотребностей организма, составлением лечебных и индивидуальных рационов питания, диетологическим сопровождением беременных и кормящих женщин, а также людей с активными физическими нагрузками.&nbsp;</p><p>Член национальной Ассоциации диетологов и нутрициологов</p>",Отзывы содержат только оценку без текстового комментария.
99,229522,high,эндокринолог,"диетолог, эндокринолог, диабетолог, нутрициолог",Принимает от 18 лет,Ph.D.Medicine,female,Московский государственный медико-стоматологический университет им. А. И. Евдокимова (1983),"<ul><li><p>1984 - Городская клиническая больница № 70, интернатура по специальности «Терапия»;</p></li><li><p>1985 - Московский медицинский стоматологический институт имени Семашко, «Эндокринология»;</p></li><li><p>1989 - Институт усовершенствования врачей, «Основы клинической генетики»;</p></li><li><p>1991 - Московский медицинский стоматологический институт имени Семашко, аспирантура, кандидат медицинских наук (генетика/эндокринология);</p></li><li><p>2013 - РУДН, «Организация здравоохранения и общественное здоровье»;</p></li><li><p>2025 - Межрегиональный центр непрерывного медицинского и фармацевтического образования, «Диетология».</p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>1987 - Центр охраны здоровья матери и ребенка, «Гинекологическая эндокринология»;</p></li><li><p>2006 - «Гинекологическая эндокринология»;</p></li><li><p>2008 - «Психосоматические аспекты в эндокринологии»;</p></li><li><p>2014 - Научный центр акушерства, гинекологии и перинатологии имени академика Кулакова, «Гинекологическая эндокринология»;</p></li><li><p>2014 - Московский областной научно-исследовательский клинический институт им. М. Ф. Владимирского, «Психосоматические аспекты в эндокринологии»;</p></li><li><p>2017 - Российский университет дружбы народов, «Экспертиза временной нетрудоспособности здоровья»;</p></li><li><p>2019 - Московский областной научно-исследовательский клинический институт им. М. Ф. Владимирского, «Эндокринология»;</p></li><li><p>2020 - «Нутрициология»;</p></li><li><p>2021 - Университет нутрициологии MyHealthPro, «Нутрициология и рациональное питание»;</p></li><li><p>2022 - «Остеопороз»;</p></li><li><p>2022 - Учебный центр «Доктор Борменталь», «Пищевая зависимость: расстройства пищевого поведения с позиции диетологии, нутрициологии и психотерапии»;</p></li><li><p>2023 - «Диабетическая стопа, факторы риска и профилактика»;</p></li><li><p>2023 - «Диабетическая ретинопатия. Современные возможности терапии»;</p></li><li><p>2023 - «Хронические осложнения сахарного диабета»;</p></li><li><p>2023 - «Современные подходы к лечению сахарного диабета»;</p></li><li><p>2024 - Аккредитация по специальности «Эндокринология»;</p></li><li><p>2024 - «Терапия внутренних болезней»;</p></li><li><p>2024 - «Помповая инсулинотерапия и средства самоконтроля в диабетологии»;</p></li><li><p>2025 - Высшая школа диетологии «Docs4Docs», «Нутриционная поддержка в амбулаторной практике».</p></li></ul>","<p>Кандидат медицинских наук. Член Российской ассоциации репродукции человека, Российской ассоциации эндокринологов.</p><p>Шерашова Елена Яковлевна занимается диагностикой и лечением сахарного диабета, заболеваний щитовидной железы, паращитовидных желез, гипофиза, надпочечников, остеопороза. Имеет опыт работы с пациентами с эндокринным бесплодием, с беременными женщинами с эндокринными заболеваниями, ведет беременных с эндокринной патологией.</p>",нет отзыва
100,217784,high,гинеколог,иммунолог,"Акушер-гинеколог, вирусолог",Ph.D.Medicine,female,Тихоокеанский государственный медицинский университет (1993),"<ul>
	<li>1995 г. - клиническая ординатура ВГМИ по специальности &laquo;Акушерство и гинекология&raquo; .&nbsp;</li>
	<li>&nbsp;2005 г. - защита диссертации в Военно-медицинской академии им. С.М. Кирова. Присуждена ученая степень кандидата медицинских наук.&nbsp;</li>
	<li>2012 г. - профессиональная переподготовка на ФУВ РУДН. По программе аллергология и иммунология. Выдан сертификат специалиста &ndash; аллерголог-иммунолог.</li>
</ul>","<p><div style=""text-align: justify;"">Панарина Анна Сергеевна специализируется на подготовке и ведении беременности (в том числе с патологиями плода и новорожденного в анамнезе). Владеет всеми современными методами обследования и лечения патологий шейки матки, противорецидивным лечением ВПГ и ВПЧ-инфекций (лазерная терапия, электрокоагуляция, электроконизация шейки матки, метод радиоволновой хирургии). Осуществляет вакцинацию, иммунную коррекцию при различных патологиях.</div></p>","Очень толковый и грамотный врач, который доступно ""раскладывает все по полочкам"". Пациентам нравится прием."
101,7277,high,терапевт,"иммунолог, аллерголог-иммунолог, терапевт, аллерголог",Физиотерапия,Ph.D.Medicine,female,Первый Санкт-Петербургский государственный медицинский университет им. И.П. Павлова (1996),"<ul><li><p>1997 г. — интернатура по специальности «Терапия» на базе ПСПбГМУ им. академика И. П. Павлова</p></li></ul><p><strong><em>Дополнительное образование:</em></strong></p><ul><li><p>2013 г. – «Аллергология и иммунология», Северо-Западный государственный медицинский университет им.&nbsp;И.И.&nbsp;Мечникова </p></li><li><p>2015 г. – «Терапия», Санкт-Петербургский государственный медицинский университет им. акад. И.П. Павлова</p></li></ul>","<p>Занимается терапией, специализируется на аллергологии и иммунологии. Проводит диагностику и лечение таких заболеваний, как:</p><ul><li><p>аллергические риниты</p></li><li><p>атопические дерматиты</p></li><li><p>бронхиальная астма</p></li><li><p>вазомоторный ринит</p></li><li><p>конъюктивит</p></li><li><p>крапивница и др.</p></li></ul><p>Шургина Ирина Сергеевна совмещает клиническую практику и научную деятельность. Защитила кандидатскую диссертацию.</p>","Противоречивые отзывы. Один пациент считает врача хорошим. Другой дает резко негативную оценку клиники в целом, но отмечает терапевта как единственного грамотного и приятного доктора, качественно проведшего опрос, осмотр и назначившего адекватное лечение."
102,361458,high,терапевт,"иммунолог, аллерголог, аллерголог-иммунолог","Нутрициолог, терапия",Ph.D.Medicine,female,Казанский государственный медицинский университет (2003),,"<p>Занимается диагностикой и лечением аллергических заболеваний (бронхиальная астма, поллиноз, аллергический ринит, аллергический конъюнктивит, атопический дерматит, крапивница, отек Квинке), частых и длительных острых респираторных заболеваний с осложнениями, поствакцинальных осложнений, аллергических реакций на медикаменты, вакцины, механические и химические аллергены и раздражители, кожных болезней, в т. ч. экземы, фурункулеза, стрептодермии, атопического дерматита, ХОБЛ.</p>",нет отзыва
103,135018,high,аллерголог,"иммунолог, пульмонолог, аллерголог-иммунолог, аллерголог",детский иммунолог,Ph.D.Medicine,female,Новосибирский государственный медицинский университет (1979),"<ul><li><p>1980 г. – интернатура по специальности «Терапия» на базе Новосибирского ГМУ</p></li><li><p>2011, 2019 гг. — Профессиональная переподготовка по специальности «Пульмонология», Северо-Западный государственный медицинский университет им. И. М. Мечникова</p></li></ul><ul><li><p>2016 г. — Профессиональная переподготовка по специальности «Аллергология и иммунология», Северо-Западный государственный медицинский университет им. И. М. Мечникова</p></li></ul>","<p>Специализируется на лечении аллергических заболеваний и иммунодефицитных состояний, владеет всеми методиками проведения аллергологического обследования. Является ассистентом кафедры пульмонологии с курсом аллергологии, врачом аллергологом-иммунологом в СЗГМУ им. Мечникова. Проходила обучение за рубежом. Лазаренко Людмила Леонидовна имеет патент на изобретение в области аллергологии и клинической иммунологии.</p>",нет отзыва
104,168149,none,стоматолог,"имплантолог, стоматолог-хирург",челюстно-лицевая хирургия,none,male,Военно-медицинская академия им.С.М.Кирова (2007),"<ul> 	
  <li>Интернатура по специальности «Общая хирургия» на базе ВМедА.</li>
 	
  <li>Ординатура по специальности «Челюстно-лицевая хирургия» на базе СПбГМУ им. акад. Павлова.</li>
 	
  <li>Семинары «Зубная имплантация», Санкт-Петербургский институт стоматологии последипломного образования.</li>
 </ul>","<p style=""text-align: justify;""> Сергей Николаевич ежегодно проводит более 1000 успешных операций по имплантации и протезированию зубов. Помимо медицинской практики руководит курсами первичной специализации и повышения квалификации для стоматологов &quot;Основы имплантации&quot;, &quot;Одномоментная имплантация&quot;, &quot;Синус-лифтинг&quot;, &quot;Костная пластика&quot;.</p>",нет отзыва
105,7201,none,стоматолог,"имплантолог, стоматолог-хирург, стоматолог-ортопед",Микропротезирование,none,male,Первый Санкт-Петербургский государственный медицинский университет им. И.П. Павлова,"<ul> 
  <li>Интернатура, Первый Санкт-Петербургский государственный медицинский университет имени академика И. П. Павлова, г. Санкт - Петербург</li>
 </ul>

<p> Повышение квалификации: </p>

<ul> 
  <li>«Эстетическая, функциональная и биологическая интеграция при ортопедической реабилитации на имплантатах». </li>
 
  <li>«Возможности изготовления индивидуальной продукции Nobel Procera». </li>
 
  <li>«Мастерство протезирования». </li>
 
  <li>«Применение ультраниров в практике ортопедического стоматологического лечения». </li>
 
  <li>«Эстетический прямые реставрации во фронтальном и боковых отделах». </li>
 
  <li>«Имплантация от А до Я». </li>
 
  <li>«Аугментация как средство создания условия для проведения лечения с применением имплантов». </li>
 
  <li>«Планирование и препарирование». </li>
 
  <li>«Пародонтология и протезирование в агрегированных протоколах Avroraclinic». </li>
 
  <li>«Немедленная имплантация с функциональной нагрузкой. Системный подход и протокол успеха». </li>

<li>«10 лет Nobel Biocare в России. Опыт, развитие и инновации». </li>
 
  <li>«Концепция все в один этап ©VV1E». </li>

<li>«Эстетическая, функциональная и биологическая интеграция при ортопедической реабилитации на имплантах». </li>
 
  <li>«Авторский курс Дменико Массирони». </li>
 
  <li>«Сложные эстетические протоколы имплантологического лечения». </li>
 
  <li>«Восстановление дефектов зубногоряда в сочетании с методикой немедленной зубоальвеолярной реконструкции IDR». </li>
 
  <li>«Создание новой улыбки: от планирования до фиксации».</li>
 </ul>","<p><div align=""justify""><p> Виталий Генрихович выполняет полный спектр стоматологических манипуляций по протезированию:</p><ul><li>хирургия</li><li>имплантация под ключ</li><li>установка ортопедических конструкций</li></ul><p>Проводит эстетические реставрации и микропротезирование с помощью ультраниров, виниров, коронок, вкладок на основе E-max керамики.</p><p>Владете методами:</p><ul><li>аугментация </li><li>открытый синуслифтинг</li><li>немедленная имплантация с функциональной нагрузкой</li><li>удаление зубов любой сложности</li></ul><p>Имеет сертификаты на работу с известными системами имплантации:</p><ul><li>Nobel Biocare</li><li>Ankylos</li><li>AlphaBio </li></ul><p>Устанавливает следующие виды коронок:</p><ul><li>металлокерамические</li><li>керамические?на?основе?диоксида?циркония</li></ul><p>Совмещает клиническую практику и административную деятельность, занимает должность главного врача клиники.</p><p>Виталий Генрихович постоянно повышает квалификацию, проходит циклы усовершенствования, посещает научные конференции.</p></div></p>","Внимательный врач, реагирует на каждое движение мимики. Лечение зубов проходит не больно и даже приятно."
106,34088,high,терапевт,кардиолог,"терапия, функциональная диагностика, ультразвуковая диагностика",D.Medicine,male,Военно-медицинская академия им. С.М.Кирова (1989),"<div>
  <ul>
    <li>2003 - диплом о профессиональной переподготовке ПП № 302412 выдан факультетом послевузовского и дополнительного образования Военно-медицинской академии - ""Кардиология"",</li>
  
    <li>2008 - свидетельство о повышении квалификации Рег. № 101324 выдано Медицинской академией последипломного образования (СПб МАПО) Росздава - ""ультразвуковая диагностика"",</li>
  
    <li>2007 - свидетельство о повышении квалификации Рег. № 21172 выдано СПб МАПО Росздава - ""Терапия"",</li>
  
    <li>2006 - свидетельство о повышении квалификации Рег. № 7096 выдано СПб МАПО Росздава - ""Функциональная диагностика"",</li>
  
    <li>2007 - свидетельство о повышении квалификации Рег. № 22140 выдано СПб МАПО Росздава - ""Клиническая кардиология""</li>
  
    <li>&laquo;Санкт-Петербургское общество терапевтов имени С.П.Боткина&raquo; - член общества;</li>
  
    <li>«Санкт-Петербургская ассоциация врачей-терапевтов» - член президиума;</li>
  
    <li>«Мемориальное общество по изучению Артериальной гипертензии им С.Н.Короткова» - член общества;</li>
  
    <li>«Санкт-Петербургский ЭХО-клуб» - член клуба;</li>
  
    <li>«Кардио-клуб-ВНОК» - член клуба;</li>
  
    <li>«European Society of Cardiology» - член общества.</li>
  </ul>
</div>","<p>Заведующий кафедрой госпитальной терапии медицинского факультета СПбГУ, член Президиума Санкт-Петербургской Ассоциации врачей-терапевтов. Автор более 270 научных работ, в том числе 9 монографических изданий, 11 учебно-методических пособий. Профессор по кафедре госпитальной терапии.</p>",нет отзыва
